Order,Date,BCS,ULVR,Rf,Rm,SMB,HML,UMD
22,Mar-201,7.334305,2636.003418,0.00037507,0.019385505,0.01113351,0.01458687,-0.03221281
21,Apr-201,8.727561,2554.059082,0.000366734,0.011364086,-0.02366444,0.04009041,-0.04053889
20,May-201,9.18782,2652.219482,0.000350061,0.006823173,0.02881207,-0.01316813,0.05031314
19,Jun-201,6.599946,3017.257568,0.000308381,0.028190026,-0.14775209,0.00850204,0.04521308
18,Jul-201,7.155731,2978.900146,0.000283374,0.040082462,0.04382345,-0.04147098,0.00305557
17,Aug-201,7.91125,2975.105957,0.00018335,0.018977833,0.03471076,-0.00456123,-0.03530581
16,Sep-201,7.59398,3104.913574,0.000150011,0.016941914,-0.00758194,0.00124405,0.05210446
15,Oct-2016,8.057134,2903.97998,0.000133342,0.005615709,-0.02933696,0.05235983,0.03360503
14,Nov-2016,9.394165,2738.283447,0.000100005,-0.016266252,0.0407632,0.02843362,-0.01186327
13,Dec-2016,9.612633,2820.963623,8.33E-06,0.050115334,0.00431994,0.00429953,-0.01305081
12,Jan-201,9.673803,2765.271973,0.000133342,-0.003294561,0.01016293,0.01432264,0.05230343
11,Feb-201,9.778669,3272.060791,2.50E-05,0.031072992,-0.01405392,-0.02866341,-0.02703044
10,Mar-201,9.822363,3403.484131,5.00E-05,0.012274724,0.01131645,-0.00911293,0.00074179
9,Apr-201,9.531779,3431.562256,0.000058335,-0.003693163,0.04077879,-0.00214579,-0.02577318
8,May-201,9.496508,3742.147217,5.00E-05,0.043624761,-0.01853141,-0.01477143,-0.00067876
7,Jun-201,9.337791,3616.798096,0.000108339,-0.024690088,0.00821211,0.01469722,0.01404609
6,Jul-201,9.461237,3761.732178,0.000108339,0.011667541,0.01688822,0.0467664,0.07362084
5,Aug-201,8.702927,3933.649414,0.000141677,0.01389566,-0.00835713,-0.00055432,0.03185365
4,Sep-201,9.170243,3787.569336,0.00018335,-0.004290768,0.02471272,-0.00356992,-0.02424405
3,Oct-2017,8.718375,3744.159912,0.000300045,0.018672185,-0.00724349,-0.00150069,0.02870736
2,Nov-2017,9.170243,3651.641113,0.000291709,-0.016561328,0.00724551,0.01574284,0.00887156
1,Dec-2017,9.657549,3645.343018,0.000225025,0.047702844,-0.0196239,0.02061272,-0.00180579
